SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
STRAWBERRY KNOLL ELEMENTARY,Maryland,MD ,Strawberry Knoll Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,640,78,278,161,78,1,42,640,2,12.48,51.30
STUDIO 39,MARYLAND,MD ,Studio 39,Anne Arundel County Public Schools,4-Alternative Education School,21-Suburb: Large,0,0,0,0,0,0,0,0,0,0.00,1.38
SUDBROOK MAGNET MIDDLE,Maryland,MD ,Sudbrook Magnet Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1040,73,124,673,126,–,42,1040,2,14.96,69.50
SUDLERSVILLE ELEMENTARY SCHOOL,Maryland,MD ,Sudlersville Elementary School,Queen Anne's County Public Schools,1-Regular school,42-Rural: Distant,320,–,102,19,179,–,20,320,–,12.60,25.40
SUDLERSVILLE MIDDLE SCHOOL,Maryland,MD ,Sudlersville Middle School,Queen Anne's County Public Schools,1-Regular school,42-Rural: Distant,492,5,80,29,344,–,32,492,2,14.91,33.00
SUITLAND ELEMENTARY,Maryland,MD ,Suitland Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,534,1,92,435,3,–,3,534,–,12.96,41.20
SUITLAND HIGH,Maryland,MD ,Suitland High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1921,4,142,1730,13,4,25,1921,3,13.75,139.70
SUMMIT HALL ELEMENTARY,Maryland,MD ,Summit Hall Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,672,22,485,135,16,1,12,672,1,11.76,57.14
SUMMIT PARK ELEMENTARY,Maryland,MD ,Summit Park Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,477,29,19,61,352,1,14,477,1,14.32,33.30
SUNDERLAND ELEMENTARY,Maryland,MD ,Sunderland Elementary,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,697,7,23,82,519,–,66,697,–,17.96,38.80
SUNSET ELEMENTARY,Maryland,MD ,Sunset Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,507,9,31,34,394,1,37,507,1,16.51,30.70
SURRATTSVILLE HIGH,Maryland,MD ,Surrattsville High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,702,7,102,564,8,2,19,702,–,11.41,61.50
SUSSEX ELEMENTARY,Maryland,MD ,Sussex Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,489,5,72,155,201,4,48,489,4,15.52,31.50
SWAN MEADOW SCHOOL,Maryland,MD ,Swan Meadow School,Garrett County Public Schools,1-Regular school,42-Rural: Distant,50,–,1,–,49,–,–,50,–,15.63,3.20
SWANSFIELD ELEMENTARY,Maryland,MD ,Swansfield Elementary,Howard County Public Schools,1-Regular school,13-City: Small,601,34,109,334,82,1,41,601,–,12.42,48.40
SYKESVILLE MIDDLE,Maryland,MD ,Sykesville Middle,Carroll County Public Schools,1-Regular school,23-Suburb: Small,792,41,55,38,638,–,19,792,1,17.33,45.70
T. C. MARTIN ELEMENTARY SCHOOL,Maryland,MD ,T. C. Martin Elementary School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,517,1,36,123,303,1,51,517,2,16.24,31.84
TAKOMA PARK ELEMENTARY,Maryland,MD ,Takoma Park Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,641,25,109,195,266,–,45,641,1,14.44,44.40
TAKOMA PARK MIDDLE,Maryland,MD ,Takoma Park Middle School,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1107,184,170,372,319,–,60,1107,2,16.07,68.90
TALBOTT SPRINGS ELEMENTARY,Maryland,MD ,Talbott Springs Elementary,Howard County Public Schools,1-Regular school,13-City: Small,504,20,126,202,112,–,43,504,1,11.89,42.40
TALL OAKS HIGH,Maryland,MD ,Tall Oaks High,Prince George's County Public Schools,4-Alternative Education School,21-Suburb: Large,90,1,21,61,6,–,1,90,–,5.14,17.50
TANEYTOWN ELEMENTARY,Maryland,MD ,Taneytown Elementary,Carroll County Public Schools,1-Regular school,31-Town: Fringe,385,–,27,15,328,–,15,385,–,9.48,40.60
TANGLEWOOD REGIONAL CENTER,Maryland,MD ,Tanglewood Regional Center,Prince George's County Public Schools,2-Special education school,21-Suburb: Large,31,–,5,23,2,1,–,31,–,4.13,7.50
TAYAC ELEMENTARY,Maryland,MD ,Tayac Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,335,13,90,223,7,1,1,335,–,15.44,21.70
TEMPLETON ELEMENTARY,Maryland,MD ,Templeton Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,878,159,459,172,81,3,3,878,1,14.18,61.90
TENCH TILGHMAN ELEMENTARY/MIDDLE,Maryland,MD ,Tench Tilghman Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,397,3,32,354,7,–,1,397,–,16.89,23.50
THE BELAIR-EDISON SCHOOL,Maryland,MD ,Brehms Lane Public Charter School,Baltimore City Public Schools,1-Regular school,11-City: Large,701,–,10,677,4,–,7,701,3,18.95,37.00
THE CROSSROADS SCHOOL,Maryland,MD ,The Crossroads School,Baltimore City Public Schools,1-Regular school,11-City: Large,163,–,35,117,10,–,–,163,1,13.04,12.50
THE GREEN SCHOOL OF BALTIMORE,Maryland,MD ,The Green School of Baltimore,Baltimore City Public Schools,1-Regular school,11-City: Large,162,1,13,71,60,1,16,162,–,17.05,9.50
THE HISTORIC CHERRY HILL ELEMENTARY/MIDDLE,Maryland,MD ,Cherry Hill Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,666,–,22,631,10,–,2,666,1,18.68,35.66
THE HISTORIC SAMUEL COLERIDGE-TAYLOR ELEMENTARY,Maryland,MD ,The Historic Samuel Coleridge-Taylor Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,266,–,5,255,3,1,1,266,1,12.09,22.00
THE MOUNT WASHINGTON SCHOOL,Maryland,MD ,The Mount Washington School,Baltimore City Public Schools,1-Regular school,11-City: Large,615,15,24,385,158,3,29,615,1,20.50,30.00
THE REACH! PARTNERSHIP SCHOOL,Maryland,MD ,The Reach! Partnership School,Baltimore City Public Schools,1-Regular school,11-City: Large,545,–,4,538,2,–,–,545,1,17.03,32.00
THE SEED SCHOOL OF MARYLAND,Maryland,MD ,The Seed School of Maryland,SEED School of Maryland,1-Regular school,11-City: Large,404,–,12,384,5,–,3,404,–,9.18,44.00
THEODORE G. DAVIS MIDDLE SCHOOL,Maryland,MD ,Theodore G. Davis Middle School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,858,29,75,593,81,3,76,858,1,15.11,56.80
THOMAS EDISON HIGH SCHOOL OF TECHNOLOGY,Maryland,MD ,Thomas Edison High School of Technology,Montgomery County Public Schools,3-Career and Technical School,21-Suburb: Large,0,0,0,0,0,0,0,0,0,0.00,27.50
THOMAS G. PULLEN SCHOOL,Maryland,MD ,Thomas G. Pullen School,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,744,10,64,633,16,1,17,744,3,14.73,50.50
THOMAS JEFFERSON ELEMENTARY/MIDDLE,Maryland,MD ,Thomas Jefferson Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,487,–,12,465,8,–,2,487,–,18.49,26.34
THOMAS JOHNSON ELEMENTARY/MIDDLE,Maryland,MD ,Thomas Johnson Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,544,7,38,86,385,1,27,544,–,19.09,28.50
THOMAS JOHNSON MIDDLE,Maryland,MD ,Thomas Johnson Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1227,37,515,627,34,3,6,1227,5,16.14,76.00
THOMAS S. STONE ELEMENTARY,Maryland,MD ,Thomas S. Stone Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,585,6,423,127,23,2,2,585,2,11.52,50.80
THOMAS S. WOOTTON HIGH,Maryland,MD ,Thomas S. Wootton High,Montgomery County Public Schools,1-Regular school,13-City: Small,2107,760,152,157,930,1,104,2107,3,18.16,116.00
THOMAS STONE HIGH SCHOOL,Maryland,MD ,Thomas Stone High School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,1181,10,179,736,192,1,58,1181,5,13.20,89.50
THOMAS VIADUCT,MARYLAND,MD ,Thomas Viaduct,Howard County Public Schools,1-Regular school,21-Suburb: Large,653,93,117,296,116,1,28,653,2,12.80,51.00
THOMAS W. PYLE MIDDLE,Maryland,MD ,Thomas W. Pyle Middle School,Montgomery County Public Schools,1-Regular school,13-City: Small,1530,220,157,43,989,1,117,1530,3,17.00,90.00
THOMSON ESTATES ELEMENTARY,Maryland,MD ,Thomson Estates Elementary,Cecil County Public Schools,1-Regular school,21-Suburb: Large,509,10,70,133,227,2,63,509,4,13.12,38.80
THUNDER HILL ELEMENTARY,Maryland,MD ,Thunder Hill Elementary,Howard County Public Schools,1-Regular school,13-City: Small,526,95,42,146,190,1,50,526,2,11.24,46.80
THURGOOD MARSHALL ELEMENTARY,Maryland,MD ,Thurgood Marshall Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,667,117,189,126,203,1,27,667,4,17.15,38.90
THURGOOD MARSHALL MIDDLE SCHOOL,Maryland,MD ,Thurgood Marshall Middle School,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,651,8,147,476,11,1,7,651,1,14.80,44.00
THURMONT ELEMENTARY,Maryland,MD ,Thurmont Elementary,Frederick County Public Schools,1-Regular school,31-Town: Fringe,299,–,15,1,268,–,14,299,1,17.16,17.42
THURMONT MIDDLE,Maryland,MD ,Thurmont Middle,Frederick County Public Schools,1-Regular school,31-Town: Fringe,563,4,34,4,502,1,15,563,3,16.09,35.00
THURMONT PRIMARY,Maryland,MD ,Thurmont Primary,Frederick County Public Schools,1-Regular school,31-Town: Fringe,370,2,23,–,329,–,15,370,1,19.07,19.40
TILDEN MIDDLE,Maryland,MD ,Tilden Middle School,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,989,173,183,142,442,2,47,989,–,15.55,63.60
TILGHMAN ELEMENTARY,Maryland,MD ,Tilghman Elementary,Talbot County Public Schools,1-Regular school,42-Rural: Distant,103,–,5,–,88,–,10,103,–,11.64,8.85
TIMBER GROVE ELEMENTARY,Maryland,MD ,Timber Grove Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,577,31,94,326,78,1,45,577,2,16.25,35.50
TIMONIUM ELEMENTARY,Maryland,MD ,Timonium Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,487,68,31,29,339,–,20,487,–,15.36,31.70
TOWN CREEK ELEMENTARY,Maryland,MD ,Town Creek Elementary,St. Mary's County Public Schools,1-Regular school,13-City: Small,222,8,12,39,143,–,19,222,1,14.42,15.40
TOWSON HIGH,Maryland,MD ,Towson High Law & Public Policy,Baltimore County Public Schools,1-Regular school,13-City: Small,1629,149,88,310,1004,–,74,1629,4,17.61,92.50
TRACEYS ELEMENTARY,Maryland,MD ,Traceys Elementary,Anne Arundel County Public Schools,1-Regular school,41-Rural: Fringe,435,1,107,29,271,–,26,435,1,16.48,26.40
TRAVILAH ELEMENTARY,Maryland,MD ,Travilah Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,358,164,30,25,126,–,12,358,1,16.73,21.40
TRIADELPHIA RIDGE ELEMENTARY,Maryland,MD ,Triadelphia Ridge Elementary,Howard County Public Schools,1-Regular school,31-Town: Fringe,563,159,40,46,265,2,50,563,1,14.04,40.10
TULIP GROVE ELEMENTARY,Maryland,MD ,Tulip Grove Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,322,4,38,164,112,–,2,322,2,14.31,22.50
TUNBRIDGE PUBLIC CHARTER SCHOOL,Maryland,MD ,Tunbridge Public Charter School,Baltimore City Public Schools,1-Regular school,11-City: Large,472,2,7,379,71,1,10,472,2,16.86,28.00
TUSCARORA ELEMENTARY,Maryland,MD ,Tuscarora Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,654,48,165,157,227,2,53,654,2,14.38,45.49
TUSCARORA HIGH,Maryland,MD ,Tuscarora High,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,1580,112,306,351,704,1,100,1580,6,17.65,89.50
TWIN RIDGE ELEMENTARY,Maryland,MD ,Twin Ridge Elementary,Frederick County Public Schools,1-Regular school,21-Suburb: Large,483,2,38,5,421,–,16,483,1,16.88,28.61
TWINBROOK ELEMENTARY,Maryland,MD ,Twinbrook Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,582,73,351,64,68,–,24,582,2,12.76,45.60
TYLER HEIGHTS ELEMENTARY,Maryland,MD ,Tyler Heights Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,453,3,425,18,3,–,4,453,–,11.05,41.00
UNIVERSITY PARK ELEMENTARY,Maryland,MD ,University Park Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,546,42,206,132,160,1,5,546,–,14.61,37.36
URBANA ELEMENTARY,Maryland,MD ,Urbana Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,761,134,76,58,437,–,53,761,3,17.96,42.38
URBANA HIGH,Maryland,MD ,Urbana High,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,1790,240,201,128,1122,2,90,1790,7,19.89,90.00
URBANA MIDDLE,Maryland,MD ,Urbana Middle,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,1003,209,114,73,529,2,69,1003,7,18.24,55.00
VALLEY ELEMENTARY,Maryland,MD ,Valley Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,494,9,62,16,382,1,22,494,2,16.92,29.19
VALLEY VIEW ELEMENTARY,Maryland,MD ,Valley View Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,425,13,150,245,14,–,3,425,–,16.80,25.30
VAN BOKKELEN ELEMENTARY,Maryland,MD ,Van Bokkelen Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,494,3,106,341,13,2,29,494,–,13.21,37.40
VANGUARD COLLEGIATE MIDDLE,Maryland,MD ,Vanguard Collegiate Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,373,6,13,332,15,5,2,373,–,15.54,24.00
VANSVILLE ELEMENTARY,Maryland,MD ,Vansville Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,758,94,188,429,22,3,21,758,1,15.63,48.50
VETERANS ELEMENTARY,Maryland,MD ,Veterans Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,932,478,62,130,230,7,24,932,1,13.91,67.00
VICTORY VILLA ELEMENTARY,Maryland,MD ,Victory Villa Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,676,8,109,333,161,2,60,676,3,17.33,39.00
VIENNA ELEMENTARY SCHOOL,Maryland,MD ,Vienna Elementary School,Dorchester County Public Schools,1-Regular school,42-Rural: Distant,180,–,4,32,128,–,16,180,–,12.00,15.00
VIERS MILL ELEMENTARY,Maryland,MD ,Viers Mill Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,604,55,371,72,84,–,21,604,1,12.33,49.00
VILLA CRESTA ELEMENTARY,Maryland,MD ,Villa Cresta Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,687,31,56,152,416,–,30,687,2,15.37,44.70
VINCENT FARM ELEMENTARY,Maryland,MD ,Vincent Farm Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,753,69,46,286,312,–,39,753,1,17.84,42.20
VIOLETVILLE ELEMENTARY/MIDDLE,Maryland,MD ,Violetville Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,405,19,55,192,121,3,12,405,3,16.53,24.50
VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,Maryland,MD ,Vivien T. Thomas Medical Arts Academy,Baltimore City Public Schools,3-Career and Technical School,11-City: Large,371,–,12,343,16,–,–,371,–,16.13,23.00
WALDON WOODS ELEMENTARY,Maryland,MD ,Waldon Woods Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,643,21,76,522,22,2,–,643,–,17.96,35.80
WALKER MILL MIDDLE,Maryland,MD ,Walker Mill Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,710,2,67,625,8,–,7,710,1,14.79,48.00
WALKERSVILLE ELEMENTARY,Maryland,MD ,Walkersville Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,691,28,114,128,363,–,55,691,3,16.90,40.88
WALKERSVILLE HIGH,Maryland,MD ,Walkersville High,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,1152,39,126,161,739,2,80,1152,5,19.20,60.00
WALKERSVILLE MIDDLE,Maryland,MD ,Walkersville Middle,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,891,26,116,120,574,1,54,891,–,17.82,50.00
WALT WHITMAN HIGH,Maryland,MD ,Walt Whitman High,Montgomery County Public Schools,1-Regular school,13-City: Small,2098,295,169,75,1438,1,118,2098,2,16.97,123.60
WALTER J. MITCHELL ELEMENTARY SCHOOL,Maryland,MD ,Walter J. Mitchell Elementary,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,702,15,69,108,445,2,62,702,1,17.89,39.25
WALTER JOHNSON HIGH,Maryland,MD ,Walter Johnson High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,2587,316,457,266,1388,–,154,2587,6,18.43,140.40
WALTER P. CARTER ELEMENTARY/MIDDLE,Maryland,MD ,Walter P. Carter Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,337,–,11,321,4,–,1,337,–,14.04,24.00
WALTER S. MILLS - PAROLE ELEMENTARY,Maryland,MD ,Walter S. Mills - Parole Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,594,6,343,225,8,–,11,594,1,11.88,50.00
WARREN ELEMENTARY,Maryland,MD ,Warren Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,413,21,69,180,126,–,15,413,2,15.64,26.40
WARWICK ELEMENTARY SCHOOL,Maryland,MD ,Warwick Elementary School,Dorchester County Public Schools,1-Regular school,42-Rural: Distant,341,4,19,28,273,–,17,341,–,15.16,22.50
WASHINGTON ACADEMY AND HIGH SCHOOL,Maryland,MD ,Washington Academy and High School,Somerset County Public Schools,1-Regular school,41-Rural: Fringe,576,4,31,301,207,1,32,576,–,14.40,40.00
WASHINGTON COUNTY JOB DEVELOPMENT CENTER,Maryland,MD ,Washington County Job Development Center,Washingtion County Public Schools,2-Special education school,13-City: Small,32,–,2,8,20,–,2,32,–,5.33,6.00
WASHINGTON GROVE ELEMENTARY,Maryland,MD ,Washington Grove Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,488,30,281,117,49,–,11,488,–,10.97,44.50
WASHINGTON MIDDLE,Maryland,MD ,Washington Middle,Allegany County Public Schools,1-Regular school,13-City: Small,592,–,10,36,505,–,41,592,–,13.62,43.46
WATERLOO ELEMENTARY,Maryland,MD ,Waterloo Elementary,Howard County Public Schools,1-Regular school,13-City: Small,620,138,38,192,207,2,41,620,2,12.89,48.10
WATERS LANDING ELEMENTARY,Maryland,MD ,Waters Landing Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,667,33,247,264,83,–,38,667,2,13.05,51.10
WATKINS MILL ELEMENTARY,Maryland,MD ,Watkins Mill Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,700,47,382,208,28,–,32,700,3,11.04,63.40
WATKINS MILL HIGH,Maryland,MD ,Watkins Mill High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1615,133,826,475,117,1,62,1615,1,13.83,116.80
WAUGH CHAPEL ELEMENTARY,Maryland,MD ,Waugh Chapel Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,618,48,73,126,315,1,53,618,2,15.93,38.80
WAVERLEY ELEMENTARY,Maryland,MD ,Waverley Elementary,Frederick County Public Schools,1-Regular school,13-City: Small,517,34,350,86,33,1,8,517,5,11.80,43.82
WAVERLY ELEMENTARY,Maryland,MD ,Waverly Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,901,436,27,62,336,–,36,901,4,14.30,63.00
WAVERLY ELEMENTARY/MIDDLE,Maryland,MD ,Waverly Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,620,8,24,570,14,–,4,620,–,18.51,33.50
WAYSIDE ELEMENTARY,Maryland,MD ,Wayside Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,533,243,29,39,186,–,36,533,–,16.66,32.00
WELLER ROAD ELEMENTARY,Maryland,MD ,Weller Road Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,714,47,570,51,27,–,17,714,2,12.68,56.30
WELLWOOD INTERNATIONAL SCHOOL,Maryland,MD ,Wellwood International Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,487,66,30,299,69,–,19,487,4,14.85,32.80
WEST ANNAPOLIS ELEMENTARY,Maryland,MD ,West Annapolis Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,236,6,31,23,161,1,12,236,2,12.69,18.60
WEST FREDERICK MIDDLE,Maryland,MD ,West Frederick Middle,Frederick County Public Schools,1-Regular school,13-City: Small,853,42,323,217,229,5,36,853,1,13.76,62.00
WEST FRIENDSHIP ELEMENTARY,Maryland,MD ,West Friendship Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,401,88,11,16,261,1,24,401,–,13.37,30.00
WEST MEADE EARLY EDUCATION CENTER,Maryland,MD ,West Meade Early Education Center,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,271,1,63,38,128,2,39,271,–,14.26,19.00
WEST SALISBURY,Maryland,MD ,West Salisbury,Wicomico County Public Schools,1-Regular school,23-Suburb: Small,332,19,63,161,63,–,22,332,4,14.43,23.00
WEST SIDE ELEMENTARY,Maryland,MD ,West Side Elementary,Allegany County Public Schools,1-Regular school,13-City: Small,405,3,11,17,322,–,50,405,2,15.88,25.50
WEST TOWSON ELEMENTARY,Maryland,MD ,West Towson Elementary,Baltimore County Public Schools,1-Regular school,13-City: Small,474,43,24,25,335,–,46,474,1,15.54,30.50
